filename,measure_family,sex,data_year,release_date,size_mb
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_ALL_CAUSES_2000_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2000,2026-03-18,7.34
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_ALL_CAUSES_2000_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2000,2026-03-18,51.02
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_ALL_CAUSES_2000_MALE_Y2026M03D18.CSV,BURDEN,MALE,2000,2026-03-18,50.44
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_ALL_CAUSES_2001_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2001,2026-03-18,50.44
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_ALL_CAUSES_2001_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2001,2026-03-18,51.02
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_ALL_CAUSES_2001_MALE_Y2026M03D18.CSV,BURDEN,MALE,2001,2026-03-18,50.44
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_ALL_CAUSES_2002_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2002,2026-03-18,50.44
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_ALL_CAUSES_2002_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2002,2026-03-18,51.02
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_ALL_CAUSES_2002_MALE_Y2026M03D18.CSV,BURDEN,MALE,2002,2026-03-18,50.44
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_ALL_CAUSES_2003_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2003,2026-03-18,50.44
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_ALL_CAUSES_2003_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2003,2026-03-18,51.02
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_ALL_CAUSES_2003_MALE_Y2026M03D18.CSV,BURDEN,MALE,2003,2026-03-18,50.44
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_ALL_CAUSES_2004_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2004,2026-03-18,50.44
